ID,file,R,maxFR_ctrl,phasic,rebound,tuning,Ada,(INCR-,DECR-,NO),duration,regular
3,2023_03_02_0032,150,,1,0,,NO,L,0,,,
2,2023_03_02_0036,150,,1,0,,NO,S,0,,,
1,2023_03_09_0001,150,,0,0,,NO,S,0.5,,,
0,2023_03_13_0006,150,,4,1bz,,NO,L,1,,,
2,2023_03_13_0010,150,,1,0,,NO,L,1,,,
3,2023_03_13_0014,150,,4,1,,INCR,L,0,,,
2,2023_03_13_0022,150,,1,0,,NO,S,1,,,
1,2023_03_14_0013,150,,0,0,,NO,S,1,,,
3,2023_03_17_0014,150,,4,0,,INCR,L,0,,,
0,2023_03_17_0025,150,,4,0,,NO,L,0,,,
2,2023_03_20_0002,150,,1,0,,NO/DECR,S,1,,,
1,2023_03_20_0019,150,,0,0,,NO,S,1,,,
3,2023_03_20_0023,150,,2,0,,INCR,L,0.5,,,
2,2023_03_21_0001,150,,1,0,,NO/DECR,S,1,,,
2,2023_03_21_0007,150,,1,0,,NO,SL,0.5,,,
3,2023_03_22_0000,150,,2,0,,INCR,L,0,,,
2,2023_03_22_0002,150,,4,0,,INCR,SL,0,,,
0,2023_03_23_0025,150,,1,0,,NO,L,1,,,
2,2023_03_24_0015,150,,4,0,,INCR,S,,,,
2,2023_03_28_0009,150,,2,0,,INCR,S,0,,,
2,2023_03_28_0013,150,,2,1,,INCR,S,0,,,
1,2023_03_29_0007,150,,0,0,,NO,S,1,,,
0,2023_03_29_0023,150,,4,1bz,,NO,L,0,,,
0,2023_03_30_0010,150,,4,1bz,,NO,L,0,,,
3,2023_03_31_0008,250,,1,0,,INCR,L,0,,,
0,2023_03_31_0010,250,,2,1bz,,NO,S,1,,,
0,2023_03_31_0011,250,,4,1bz,,NO,L,1,,,
3,2023_03_31_0022,250,,2,0,,INCR,L,,,,
0,2023_04_11_0003,250,,4,0,,NO,L,1,,,
3,2023_04_11_0006,250,,4,0,,INCR,S,"0,5",,,
1,2023_04_11_0014,250,,0,0,,NO,S,1,,,
2,2023_04_13_0005,250,,2,0,,NO,L,0,,,
1,2023_04_17_0007,250,,0,0,,NO,S,,,,
3,2023_04_17_0008,250,,4,0,,INCR,L,,,,
2,2023_04_17_0012,250,,1,0,,NO,S,1,,,
2,2023_04_17_0020,250,,1,0,,NO,S,1,,,
3,2023_04_17_0021,250,,2,0,,INCR,L,1,,,
3,2023_04_18_0001,250,,4,0,,INCR,L,0,,,
1,2023_04_18_0003,250,,0,0,,NO,S,1,,,
1,2023_04_18_0009,250,,0,0,,NO,S,1,,,
0,2023_04_18_0011,250,,,,,,,,,,
0,2023_04_19_0000,250,,4,0,,NO,L,0.5,,,
3,2023_04_19_0012,250,,2,0,,INCR,L,0,,,
0,2023_04_19_0018,250,,4,1,,NO,L,,,,
2,2023_04_20_0001,250,,1,0,,NO,L,,,,
2,2023_04_20_0005,250,,4,0,,NO,S,0,,,
2,2023_04_20_0016,250,,1,0,,NO,L,1,,,
2,2023_04_21_0003,75,,2,0,0,?,NO,S,0,,
2,2023_04_21_0005,75,,2,0,0?,NO,S,1,,,
4,2023_04_24_0003,75,,4,0,1,INCR,L,1,,,
2,2023_04_24_0004,75,,2,0,0,NO,L,0,,,
0,2023_04_25_0000,75,,3,1bz,ko,NO,L,0,,,
2,2023_04_26_0001,75,,1,0,1,NO,S,0.5,,,
1,2023_04_26_0006,75,,0,0,0,NO,S,1,,,
0,2023_04_27_0000,75,,1,0,1,NO,S,0,,,
1,2023_04_27_0006,75,,0,0,1,NO,S,1,,,
0,2023_04_27_0020,75,,1,0.5,1,NO,L,0,,,
0,2023_05_02_0000,75,,2,0.5,ko,NO,S,0,,,
2,2023_05_02_0002,75,,1,0,ko,INCR,SL,0,,,
2,2023_05_02_0004,75,,3,1ok,ko,INCR,S,0,,,
0,2023_05_02_0009,75,,NA,0,1,NA,NA,0,,,
4,2023_05_02_0011,75,,2,0,ko,INCR,L,0,,,
1,2023_05_03_0004,75,,0,0,1,NO,S,1,,,
0,2023_05_03_0018,75,,NA,0,0,NA,NA,0,,,
0,2023_05_03_0021,75,,NA,0,ko,NA,NA,0,,,
0,2023_05_09_0003,75,,3,1,ko,DECR,L,0,,,
1,2023_05_09_0010,75,,0,0,1,NO,S,1,,,
1,2023_05_10_0008,75,,NA,0,1,NA,NA,1,,,
2,2023_05_10_0019,75,,1,0,,INCR,S,1,,,
2,2023_05_10_0023,75,,1,0,0,INCR,S,0.5,,,
4,2023_05_11_0002,75,,4,1ok,0,INCR,SL,,,,
2,2024_10_15_0000,0,,,,,,,,,,
3,2024_10_15_0015,0,,3-4,,,,,,,,
3,2024_10_16_0017,0,,3-4,,,,,,,,
3,2024_10_17_0002,0,,,,,,,,,,
1,2024_10_21_0007,0,,?,,,,,,,,
4,2024_10_22_0001,0,,4-3,,,,,,,,
3,2024_10_22_0002,250,,,,,,,,,,
3,2024_10_22_0003,0,,3bz,,,,,,,,
1,2024_10_22_0004,0,,bz,por,5,,,,,,
3,2024_10_29_0000,0,,3-4,,,,,,,,
3,2024_10_30_0001,0,,,,,,,,,,
3,2024_10_30_0004,0,,3-4,,,,,,,,
2,2024_10_30_0009,0,,,,,,,,,,
3,2024_10_31_0004,0,,,,,,,,,,
2,2024_11_06_0006,0,,,,,,,,,,
3,2024_11_06_0007,0,,,,,,,,,,
3,2024_11_08_0008,0,,3-4,,,,,,,,
2,2024_11_08_0017,0,,,,,,,,,,
